V1,V2
1.311155509,1.334259192
1.301159497,1.343838169
1.310554829,1.337107103
1.321140967,1.34151848
1.311759143,1.334555639
1.320120913,1.342287768
1.306117938,1.346311655
1.316943405,1.347915604
1.318075337,1.333117849
1.333546831,1.340342064
1.309312095,1.339412061
1.32349828,1.345280266
1.317192951,1.362626013
1.300896566,1.351862889
1.305389508,1.35234938
1.313853766,1.348282452
1.328636808,1.337057648
1.327602819,1.345683176
1.306032777,1.348205992
1.313251898,1.320613045
1.315758152,1.343425695
1.31951604,1.345836727
1.32299148,1.354902513
1.314685438,1.354502774
1.326675361,1.34690122
1.308366207,1.355394372
1.31234987,1.338558777
1.313828628,1.355432309
1.303130684,1.349973683
1.326452028,1.359629847
1.306268129,1.340163067
1.319832205,1.349491869
1.311936549,1.344594518
1.31314036,1.353310283
1.326649879,1.344810184
1.301528626,1.354031389
1.32012605,1.364842339
1.322311749,1.358882014
1.323106036,1.345590686
1.313253492,1.36590713
1.31803701,1.341399715
1.303212077,1.338225023
1.314309038,1.346648225
1.321682798,1.365237155
1.303267282,1.3494454
1.320868976,1.355351344
1.311768144,1.350478041
1.297867861,1.334875241
1.313935938,1.34375104
1.31454766,1.350195742
1.313358017,1.352785012
1.307990842,1.351392284
1.312998089,1.355974287
1.322549582,1.347216481
1.322160392,1.330540609
1.333085379,1.360070561
1.316378762,1.35608923
1.321938523,1.352542071
1.335881801,1.362169395
1.300177459,1.345276538
1.308583255,1.346759225
1.322101749,1.362111344
1.301361288,1.357853711
1.311356757,1.337244084
1.309031436,1.359923792
1.298024948,1.338389743
1.302228915,1.351764906
1.307709517,1.34711749
1.31336344,1.337108471
1.310521556,1.337637527
1.318980075,1.349348702
1.307062595,1.333285157
1.316602472,1.355247709
1.315412592,1.350139874
1.309841904,1.349280458
1.310562054,1.358882424
1.315208486,1.35151933
1.313570693,1.349096437
1.308294405,1.345251019
1.308987128,1.339677289
1.300242418,1.332759283
1.310832613,1.343148003
1.329261398,1.339993366
1.32170924,1.356133506
1.308696726,1.356777463
1.31951998,1.345681773
1.309830712,1.345127597
1.321576672,1.358974216
1.308011424,1.347256454
1.32292824,1.33445931
1.315461935,1.33520775
1.322290428,1.348483445
1.321397883,1.338685022
1.30659369,1.358242344
1.308131355,1.338685109
1.324076334,1.353961622
1.316569322,1.344932676
1.310416244,1.34036362
1.318400664,1.360456155
1.309780047,1.345424997
1.321715847,1.336745145
1.309536475,1.348872262
1.339170197,1.333224423
1.310771739,1.347271531
1.318750303,1.348570391
1.306282904,1.350316807
1.314503385,1.346205182
1.313040963,1.350105573
1.321386112,1.33477216
1.321194454,1.353250082
1.300135838,1.34975617
1.31085813,1.339059573
1.318061151,1.345319765
1.328859832,1.35168639
1.304776542,1.352790775
1.31573845,1.346668882
1.321784997,1.351937075
1.312963436,1.34694096
1.322948985,1.342223093
1.314089352,1.337979024
1.322301142,1.345336536
1.323348948,1.343644968
1.316416257,1.346232814
1.308527667,1.351157096
1.314668148,1.332658482
1.314501995,1.344955181
1.323116202,1.329914639
1.316852488,1.352371288
1.313393778,1.343988749
1.313975069,1.346207374
1.315170648,1.349796081
1.313304625,1.362945237
1.311820717,1.336927893
1.313066367,1.344797785
1.32109744,1.352615307
1.320508871,1.345608842
1.297140442,1.341342759
1.317135011,1.348393224
1.296028482,1.350104759
1.31135774,1.340611043
1.308719538,1.344516251
1.314117904,1.343898722
1.322333723,1.328567206
1.321993236,1.340846755
1.300768953,1.366901065
1.30902446,1.356517371
1.318163859,1.338712281
1.307201636,1.344314264
