"V1","V2"
0.3287,0
0.3438,0
0.3392,0
0.3346,0
0.3477,0
0.3545,0
0.3436,0
0.3344,0
0.3457,0
0.352,0
0.3414,0
0.3358,0
0.3427,0
0.351,0
0.3358,0
0.3374,0
0.3476,0
0.3389,0
0.3431,0
0.3409,0
0.3351,0
0.3333,0
0.3311,0
0.3453,0
0.3362,0
0.3435,0
0.3381,0
0.3306,0
0.3464,0
0.335,0
0.3338,0
0.3468,0
0.3445,0
0.3441,0
0.338,0
0.3364,0
0.3394,0
0.3445,0
0.3331,0
0.3386,0
0.3389,0
0.3413,0
0.3393,0
0.3434,0
0.3414,0
0.3391,0
0.3517,0
0.3489,0
0.346,0
0.351,0
0.3436,0
0.3343,0
0.3429,0
0.3331,0
0.3396,0
0.3442,0
0.3526,0
0.3354,0
0.3473,0
0.351,0
0.3292,0
0.3465,0
0.3318,0
0.3475,0
0.3464,0
0.3376,0
0.3443,0
0.3276,0
0.3506,0
0.347,0
0.3323,0
0.3398,0
0.3432,0
0.341,0
0.346,0
0.3402,0
0.3424,0
0.3425,0
0.3508,0
0.3425,0
0.344,0
0.3403,0
0.3422,0
0.3521,0
0.3412,0
0.3474,0
0.3386,0
0.34,0
0.3439,0
0.3335,0
0.3379,0
0.3437,0
0.3413,0
0.3407,0
0.3444,0
0.3432,0
0.3396,0
0.3421,0
0.338,0
0.3454,0
0.3405,0
0.3429,0
0.3369,0
0.3477,0
0.345,0
0.3448,0
0.3373,0
0.3387,0
0.3495,0
0.3321,0
0.3292,0
0.3458,0
0.3429,0
0.3426,0
0.335,0
0.35,0
0.3403,0
0.3374,0
0.3504,0
0.3366,0
0.3374,0
0.338,0
0.3508,0
0.3353,0
0.3334,0
0.3512,0
0.3402,0
0.3446,0
0.3383,0
0.3512,0
0.3392,0
0.3442,0
0.3355,0
0.3436,0
0.3384,0
0.35,0
0.3428,0
0.3451,0
0.348,0
0.3442,0
0.3303,0
0.3345,0
0.3342,0
0.3542,0
0.3313,0
0.3369,0
0.3568,0
0.339,0
0.3308,0
0.3484,0
0.3325,0
0.3489,0
0.342,0
0.3425,0
0.3518,0
0.3374,0
0.332,0
0.3274,0
0.3379,0
0.3451,0
0.3391,0
0.34,0
0.3387,0
0.3412,0
0.3409,0
0.3277,0
0.3297,0
0.3496,0
0.3464,0
0.3398,0
0.3491,0
0.3429,0
0.3399,0
0.3362,0
0.3429,0
0.3325,0
0.3374,0
0.3433,0
0.3479,0
0.3424,0
0.3331,0
0.3467,0
0.3462,0
0.3341,0
0.3454,0
0.3397,0
0.342,0
0.3485,0
0.3517,0
0.3394,0
0.3401,0
0.3409,0
0.353,0
0.3519,0
0.344,0
0.3425,0
0.3508,0
0.3408,0
0.3353,0
0.3433,0
0.3464,0
0.3391,0
0.3308,0
0.3462,0
0.3377,0
0.3304,0
0.3404,0
0.3269,0
0.3435,0
0.3421,0
0.3348,0
0.3414,0
0.3419,0
0.3462,0
0.3341,0
0.3353,0
0.3346,0
0.3381,0
0.3448,0
0.3449,0
0.3427,0
0.3362,0
0.3308,0
0.3409,0
